Topic Question
__label__singapore "Do myths legends still sustain persona play Singapore"
__label__history "The past utter even retiring Discuss"
__label__history "History view uranium spine rather spurs us ahead To extent true"
__label__culture_and_traditions "Assess importance intellectual nourishment within Singaporean culture"
__label__gender "Fair sex leave never enjoy like right men Do agree"
__label__globalisation "How import exist hoi polloi society retain sense nostalgia"
__label__geography "National boundaries make little geographical economical sense today Discus"
__label__science "Technology ingest gaol rather free us Is fair comment"
__label__religion "Discuss importance religion society today"
__label__crime_and_punishment "See view ensuring law edict important protecting right"
__label__science "How far science fiction becoming fact"
__label__reflective "Let bygone water bridge Is good advice"
__label__the_arts "Examine role music demonstrate internal identity companionship"
__label__family_marriage_youth "Kid society victims parent aspiration Discuss"
__label__society "Examine role euphony establishing home identicalness society"
__label__energy_and_the_environment "To extent cost mankind duty save peril species"
__label__work_and_life "Instead quicken upward pace lifespan slowing What guess"
__label__reading_fiction__stories "Discuss appeal note value fantasy stories film"
__label__history "How important make signified story shaping future Singapore sulphur society"
__label__security_issues__terrorism_security_privacy "Should police take unlimited powers dealing offence"
__label__language_and_writing "The quality written lyric destroy societal media What view"
__label__society "To extent practice young hoi polloi social club take interest politics"
__label__sport "To extent value sport determined profitability"
__label__business_and_economics "Businesses comprise concerned environmental protection How naturalistic position"
__label__reflective "Go unity wants life matters Discuss"
__label__mathematics_and_statistics "Unlike Arts composition surgery music Maths miss capacity creative thinking How far agree instruction"
__label__reflective "We need less choice How true live today"
__label__society "For absolute majority people Arts irrelevant day day lives How true order"
__label__society "Traditions irrelevant today world Doctor osteopathy agree"
__label__energy_and_the_environment "How crucial save plant animal species danger extinction"
__label__security_issues__terrorism_security_privacy "Air locomote creates problems benefits Equal middling gossip"
__label__leadership "A good leader must always look beyond needs operating theatre country Do correspond"
__label__singapore "The tourer answer see area inhabitants know How far true Singapore island"
__label__work_and_life "Citizenry today non work hard yesteryear How truthful society"
__label__tourism_and_transportation "Zephyr travel make problems benefits Be fair comment"
__label__the_arts "People Arts living surgery beat get far realization Sciences though information technology less deserved Count claim"
__label__the_arts "Unlike Artwork writing euphony Mathematics lacks capacity creativity How far behave agree statement"
__label__work_and_life "Serve agree city life becoming increasingly untempting"
__label__science "Too much noesis serious affair Is true developments scientific discipline technology advanced world"
__label__energy_and_the_environment "Should wild animals go along captivity"
__label__globalisation "National bounds produce little geographical economic sensory faculty nowadays Discuss"
__label__education "Solely enlightened citizenry right vote elections What vista"
__label__rights_injustices_and_fair_treatment "How far excreting prejudice realistic goal bon ton"
__label__economics "Skill answer global thirstiness Discuss"
__label__globalisation "Is globalisation follow receive feared today"
__label__singapore "How far motive minority met modern Singapore"
__label__the_arts "Bodoni font art expression one imagination comprise little significance Do harmonize"
__label__energy_and_the_environment "Environmentalism postulate hero parliamentary procedure information technology successful Do agree"
__label__economics "Cost poor inevitable feature society"
__label__economics "Is nonetheless place charity today world"
__label__society "Politicians merely respond events Is reasonable comment"
__label__education "Discus claim education guaranty progress"
__label__intervention_conflict_and_war "Examine extent expenditure arms armed personnel justifiable modern world"
__label__reading_fiction__stories "Discuss solicitation value illusion chronicle films"
__label__tourism_and_transportation "Should poorer commonwealth develop tourer industry basic need people non met"
__label__singapore "Do myths legend still role play Singapore"
__label__science "How far governments exercise control scientific development"
__label__the_arts "Coeval films exist usually entertaining rarely meaningful Do agree"
__label__globalisation "Nothing ventured cipher hit How well delineate attitude immature people society today"
__label__society "Politicians today haunt art persuasion Discuss"
__label__work_and_life "The mob suffered disbursement career Singaporean guild Is fair remark"
__label__geography "How far serve physical features size location determine country advancement"
__label__mass_media "Consider sight social media weaken verity regularise"
__label__energy_and_the_environment "Environmentalism take heroes lodge successful Do fit"
__label__society "Take view cities developing expense environment"
__label__science "Assess shock digital age way business done today"
__label__governance "Governments live powerless deal conflicts today Discuss"
__label__science "Despite whole technological medical advancement get created better world mankind Dress fit"
__label__globalisation "How far elitism job society"
__label__history "History obligate us rear rather spur us forward To extent true"
__label__economics "Should poorer land develop tourist industry canonic demand people receive"
__label__advertising "Advertisements often entertaining rarely feign consumer selection Is experience"
__label__crime_and_punishment "Rehabilitation non punishment purpose justice arrangement Discuss"
__label__mass_media "Can media always exist relied convey truth"
__label__the_arts "Does literature offer anything taste linguistic communication"
__label__work_and_life "The family put expense career Singaporean society Is bonnie input"
__label__tourism_and_transportation "Hindquarters transport food concluded huge distances justified"
__label__governance "Should government restrict opinions citizenry given increasingly difficult suffice"
__label__the_arts "Works nontextual matter removed commonwealth blood returned Discuss"
__label__globalisation "We eradicate poverty without first eliminating secernment Ut agree"
__label__science "Experiment animals necessary scientific research How far come tally"
__label__miscellaneous "Is point trying predict succeeding trend"
__label__population_and_migration "Migrants inconvenient necessity Follow unfeigned"
__label__history "How important sense chronicle form future Singapore atomic number society"
__label__gender "Consider view vocation better suited one gender former"
__label__reading_fiction__stories "Any adaptation novel film television theatre equally effective original Discuss"
__label__the_arts "Different Graphics writing music Mathematics lack capability creativeness How far agree instruction"
__label__family_marriage_youth "Parent mainly responsible tike south succeeder failure life Comment"
__label__the_arts "Should celebrities guard higher standards moral behaviour"
__label__society "The Department state place secret life time information technology citizens Do agree"
__label__work_and_life "Do agree city life becoming increasingly untempting"
__label__technology "Do handicrafts still possess value machine acquire goods thusly readily available"
__label__reflective "Graciousness little economic value today How far make true bon ton"
__label__education "Books serve little purpose education technological developments become sophisticated How far practise agree"
__label__rights_injustices_and_fair_treatment "Mass privileges proportion intelligence Commentary"
__label__reading_fiction__stories "Discuss appeal value phantasy stories films"
__label__work_and_life "Think purview ferment day could done home"
__label__leadership "The globe would safe place political leaders adult female What view"
__label__business_and_economics "Businesses embody concerned environmental protection How naturalistic view"
__label__medicine_medical_science_and_health "The key good wellness lifestyle rather medicate How far agree"
__label__energy_and_the_environment "Should countries suffering economic crises still taste save environment"
__label__religion "The skill advances religion decline To extent practice agree"
__label__governance "Governments powerless deal conflicts today Discuss"
__label__science "Technology produced generation ineffective distinguish represent worth reading Exist true"
__label__education "Education produces universe able read unable cogitate Discuss"
__label__mathematics_and_statistics "Statistics measurement everything prove nothing Discuss"
__label__history "Is study History increasingly irrelevant today atomic number worldly concern"
__label__globalisation "How far elitism trouble society"
__label__medicine_medical_science_and_health "Should research expensive medical treatment cost allowed solely afford"
__label__rights_injustices_and_fair_treatment "Live modern technology benefit terror democracy"
__label__education "Conformism chief aim schools How far true"
__label__tourism_and_transportation "Arse transfer food vast distance justified"
__label__culture_and_traditions "Assess impact foreign plastic film alien TV programme culture society"
__label__work_and_life "Dress agree city life represent becoming increasingly unattractive"
__label__the_arts "Can fiction ever truthful"
__label__reflective "Live die tomorrow Is undecomposed advice"
__label__religion "See view science serve mankind better religion"
__label__business_and_economics "Consumers mercy corporations Discus"
__label__globalisation "Poorness non fault poor Discuss"
__label__history "Chronicle holds atomic number back preferably spurs us forward To extent cost true"
__label__mathematics_and_statistics "Deliberate view mathematics possess truth simply sovereign beauty"
__label__leadership "Do consequence rather politician shape future tense"
__label__globalisation "How efficacious international efforts tackle global health threat"
__label__society "How important tradition society today"
__label__the_arts "Whole works art represent removed state origin returned Saucer"
__label__leadership "No politician repute hold judgment meter How lawful"
__label__economics "Skill solitary answer global hunger Discuss"
__label__singapore "The tourer see body politic indweller know How far true Capital singapore"
__label__the_arts "Practice agree opinion art politics never commix"
__label__globalisation "In global hamlet inhabit point justification internal edge How far agree"
__label__society "How far society unpopular horizon open discussion"
__label__the_arts "A society non time value Art lacks individuality Do agree"
__label__reflective "How far agree monitoring keeping upwards trend meaningless pursuit"
__label__reflective "No cause ever deserving dying Discus"
__label__security_issues__terrorism_security_privacy "To extent technology impact secrecy security department country"
__label__technology "How far new technology made information technology unneeded individuals possess numerical skills"
__label__religion "Consider panorama science villein mankind better faith"
__label__rights_injustices_and_fair_treatment "Should thither still live concerns gender issues great unwashed greater extent educated"
__label__the_arts "Are certain languages superior others"
__label__economics "Is reasoning elimination spherical poverty naturalistic aim"
__label__tourism_and_transportation "Melodic phrase travel creates problem benefit Is fair comment"
__label__science "Should every country right carry straight scientific inquiry"
__label__leadership "Practise events rather politicians mould future"
__label__geography "How far physical features size location see nation progress"
__label__business_and_economics "Rich person multi national businesses positive negative impact high society"
__label__globalisation "In times economical hardship country still represent expected allow financial material aid others"
__label__religion "In modern earth religion divides unites Discus"
__label__leadership "No political leader reputation live judgement sentence How true"
__label__education "To extent education lick problem poverty"
__label__advertising "Advertisement encourages desire products people make reality need Discuss"
__label__society "Consider view security department authoritative democracy"
__label__mass_media "Doe violence visual medium portray reality advance unacceptable"
__label__the_arts "In society extent constitute satisfactory public money used accomplishment works art"
__label__mathematics_and_statistics "Statistic measure everything merely prove nothing Discuss"
__label__miscellaneous "Far also much attention given beauty products treatments Do fit"
__label__society "In beau monde well embody need economy environment balanced"
__label__mathematics_and_statistics "Consider perspective study mathematics intellectually satisfying little virtual use"
__label__sport "Ar professional athletes nothing mere entertainers"
__label__work_and_life "Practical ability constitute scarce important intellectual skills How far true gild"
__label__reading_fiction__stories "Nowadays pleasures version compete pleasures visual amusement To extent tally"
__label__miscellaneous "Is point trying portend future drift"
__label__family_marriage_youth "It difficult constitute parent today Discuss"
__label__religion "Religion place politics Bash consort"
__label__technology "Does modern humankind billet much reliance engineering"
__label__mathematics_and_statistics "Can math seen anything useful tool everyday life"
__label__business_and_economics "Mass yield necessarily means loss craftsmanship quality Is key society"
__label__history "The influential individuals history comprise world health organization caused harm How far would accept view"
__label__globalisation "Assess effectiveness international efforts deal crises today"
__label__the_arts "Would information technology matter wholly perform arts venues society concert halls theatres represent closed bolt"
__label__family_marriage_youth "Too much care paid elderly expense young How far true society"
__label__economics "Science lonesome answer global thirst Discuss"
__label__crime_and_punishment "To extent potential make penalization fit crime"
__label__advertising "At place thing bad publicity To extent unfeigned"
__label__the_arts "Discuss value appeal scientific discipline fabrication"
__label__tourism_and_transportation "Line travel discouraged promoted To extent correspond"
__label__tourism_and_transportation "Can transport food vast length rationalize"
__label__reflective "It barely crucial unlearn learn Ut agree"
__label__singapore "Manage myths legends still throw role act Singapore"
__label__science "Technology defecate determine easier harder To extent gibe"
__label__family_marriage_youth "Children lodge victims parent ambition Discuss"
__label__medicine_medical_science_and_health "Only rich afford exist sick To extent true"
__label__the_arts "Far also little care make contribute Arts training today How true"
__label__energy_and_the_environment "We expect someone save environment Do agree"
__label__mass_media "To extent serve newspapers magazine read deal trivial quite important"
__label__the_arts "An education humanistic discipline encouraged every bit much sciences Discuss carnal knowledge society"
__label__language_and_writing "Conceive view spoken language represent important write form"
__label__crime_and_punishment "The harsher penalty effective follow Discuss"
__label__society "Can national identity operator ever forged multi cultural company"
__label__leadership "A leader responsibility always country non former nations Discuss"
__label__leadership "Consider view societal media influence pol"
__label__crime_and_punishment "Too much attention given crook non plenty victim Is true"
__label__society "To extent arts society focus local sooner foreign talent"
__label__business_and_economics "Net profit mustiness sole stress businesses Bash agree"
__label__gender "Story record virile turn written males holds little stake females result Is fair comment"
__label__medicine_medical_science_and_health "Consider view non take enough responsibility good"
__label__reflective "How desirable city living"
__label__society "Mass production inevitably mean red ink craftsmanship quality Is honest order"
__label__singapore "Dress arts music literature genuinely play significant role Singaporean society"
__label__population_and_migration "Longer life expectancy creates problems benefits Discus"
__label__medicine_medical_science_and_health "If people become ill largely shift How far coiffe agree"
__label__work_and_life "Consider view careers better suit one sex early"
__label__singapore "Assess grandness food within Singaporean culture"
__label__crime_and_punishment "Is crime result piteous governance"
__label__science "With emphasis applied science elderly country allow behind"
__label__science "Should every country hold right carry stunned unlimited scientific research"
__label__geography "National boundaries make fiddling geographic economic signified nowadays Discuss"
__label__globalisation "Should love one land still advance"
__label__science "To extent regulation scientific oregon technical developments justified"
__label__crime_and_punishment "Should police unlimited powers manage crime"
__label__sport "Department energy lark merit vast sums money spent information technology"
__label__sport "The value fun overestimate Be true today"
__label__reflective "Do superheroes process useful intention"
__label__business_and_economics "Have multi national businesses convinced negative impact company"
__label__society "To extent rights animals protected guild"
__label__economics "How far forcible characteristic size location determine state progress"
__label__the_arts "Discuss value medicine"
__label__culture_and_traditions "Assess view traditional buildings make future club"
__label__rights_injustices_and_fair_treatment "Only enlightened citizenry right field vote election What view"
__label__security_issues__terrorism_security_privacy "Should police unlimited powers dealing criminal offence"
__label__business_and_economics "Profits mustiness sole focussing businesses Do fit"
__label__religion "How far religion influence political decisions"
__label__reflective "On point thing hazard People determine lives Do hold"
__label__the_arts "The arts liberate simply skill enslaves Discuss"
__label__science "Do jibe ethical considerateness get direction medical progress"
__label__reflective "How exercise explain society growing fascination super heroes Do reckon respectable operating theatre harmful trend"
__label__globalisation "Be truthful interconnected earth becomes peril"
__label__population_and_migration "How far prosperity uncontrolled population growing live hand hired man"
__label__tourism_and_transportation "Should poorer countries develop holidaymaker industry canonic needs hoi polloi met"
__label__science "Instead empowering humanity technology enslave humanity To extent agree"
__label__governance "Should exemption speech cost protected matter cost"
__label__economics "Should poorer countries develop tourist industriousness basic needs people non met"
__label__energy_and_the_environment "How far individuals blamed ball shaped environmental problems"
__label__tourism_and_transportation "Gentle wind travel creates trouble benefits Be fair comment"
__label__intervention_conflict_and_war "How far countries relations others whose human rights criminal record wretched"
__label__science "How far governments drill control scientific development"
__label__economics "How far increased prosperity naturalistic goal society"
__label__reading_fiction__stories "Any adaption novel film television system theatre never effective original Discus"
__label__energy_and_the_environment "Suffer gone far animal rights"
__label__education "Only enlightened people rightfulness vote elections What view"
__label__business_and_economics "Ar ethical practice key successful line"
__label__globalisation "To extent force small countries influence globular affairs"
__label__advertising "Advertisements constitute often entertaining rarely affect consumer selection Is experience"
__label__governance "Examine opinion authorities surveillance contribute greater security"
__label__intervention_conflict_and_war "Countries experiencing conflict constitute left sort problems How far coif fit"
__label__gender "Consider perspective careers better suited ace grammatical gender former"
__label__the_arts "To extent cultural heritage really important society"
__label__advertising "Advertising encourages desire products people exercise actually need Saucer"
__label__the_arts "Only modernistic computer architecture mod art place today world How true society"
__label__security_issues__terrorism_security_privacy "How far state right monitor action people within border"
__label__technology "In age rapid technological forward motion single career biography realistic"
__label__work_and_life "Look view careers better suited one gender former"
__label__reflective "How far possible masses accost current realities"
__label__globalisation "Population pressure tooth root drive conflict How far agree"
__label__reading_fiction__stories "Any adaptation novel film television surgery theatre never equally effective original Discus"
__label__sport "Discuss view competitive mutation brings bad people"
__label__family_marriage_youth "Fry companionship victims parents ambitions Discus"
__label__medicine_medical_science_and_health "How effect public health promoted managed society"
__label__religion "Faith accept plaza politics Do agree"
__label__culture_and_traditions "Assess impact foreign films operating room foreign TV programmes cultivation bon ton"
__label__intervention_conflict_and_war "The prospect Third Humankind War unthinkable Answer tally"
__label__energy_and_the_environment "Is information technology possible protect environment many land call increasing total energy progress"
__label__business_and_economics "Slew product inevitably means loss craftsmanship quality Is rightful society"
__label__religion "In modern world religion divide unites Discus"
__label__leadership "The world would better place greater extent political leader charwoman What comprise aspect"
__label__science "No matter much scientific advance make volition perpetually questions answers What constitute views"
__label__globalisation "Is world without margin lawsuit celebration"
__label__globalisation "How far nation prepared serious eruption disease"
__label__history "Exercise past present offer guidance future"
__label__intervention_conflict_and_war "The prospect Human race War unthinkable Behave gibe"
__label__language_and_writing "A picture always hefty bare words What view"
__label__mass_media "Cause films offer anything escape reality"
__label__business_and_economics "Despite current popularity future e commerce department undimmed To extent true"
__label__singapore "Many developed state pay increasing attention needs disadvantaged How far true Singapore"
__label__reflective "Does private enterprise sport always kick greater concordance understanding"
__label__business_and_economics "Without money preservation conversation How far coif agree view"
__label__education "How far education solution inequality"
__label__society "How far increased prosperity wholly realistic goal society"
__label__sport "To extent value sport determine profitability"
__label__energy_and_the_environment "We expect individual save environment Ut concord"
__label__globalisation "Assess effectiveness external drive addressing crisis today"
__label__family_marriage_youth "The Golden Age Is exact description ageing society"
__label__rights_injustices_and_fair_treatment "There represent nothing reverence grow honest goodness government paying increased attending needs elderly Is true society"
__label__gender "History records male acts written male holds little pursuit female person result Is remark"
__label__work_and_life "Consider vista work days could dress home"
__label__globalisation "There greater value read fiction keep updated current affairs Do check"
__label__reading_fiction__stories "The book ingest place advanced society Discuss"
__label__economics "How effective outside effort ease job global hunger"
__label__leadership "A leader responsibility invariably surgery land non nations Discuss"
__label__science "To extent regulation scientific technological development make justified"
__label__globalisation "Nothing jeopardize nothing advance How well report attitude young people companionship today"
__label__singapore "How far needs minority met advanced Singapore"
__label__mass_media "To extent trust newspapers keep us substantially informed"
__label__reading_fiction__stories "Does volume still time come"
__label__security_issues__terrorism_security_privacy "To extent technology encroachment privacy certificate country"
__label__economics "Are pitiful inevitable feature speech society"
__label__family_marriage_youth "Compassion get place competitive society Be true"
__label__family_marriage_youth "Children club victim parents ambition Discuss"
__label__mathematics_and_statistics "Consider opinion maths truth supreme smasher"
__label__singapore "How far magazine publisher television programme point young people Singapore island consume positive effect"
__label__family_marriage_youth "Perform agree criticism charities ineffective organisations usually harm honest"
__label__family_marriage_youth "Should fathers today stay home look children"
__label__business_and_economics "There much emphasis economical development Be dependable gild"
__label__science "Despite technological aesculapian furtherance made created better cosmos mankind Act agree"
__label__family_marriage_youth "Parent consume right impose values beliefs nestling Discuss"
__label__reading_fiction__stories "Can fiction teach us anything meaningful existent world"
__label__reading_fiction__stories "Discus appeal value illusion tarradiddle films"
__label__governance "Is ever justifiable Country intervene business practices"
__label__globalisation "On point greater value reading fiction keeping updated current affairs Bash agree"
__label__governance "Consider purview small countries maintain real influence world affairs"
__label__globalisation "To extent migration great unwashed positive effect"
__label__mass_media "Do films offer anything escape reality"
__label__economics "Be elimination global poverty realistic object"
__label__family_marriage_youth "Is term spoilt contemporaries mediocre description today youthful society"
