Question,Topic
"Consider the view that films should educate, rather than simply entertain.",The Arts
‘A society that does not value the Arts lacks identity.’ Do you agree?,The Arts
‘Public money should not be wasted on supporting the Arts.' Discuss this view in the light of your society today.,The Arts
"‘Music is enjoyable, but is essentially a frivolous pursuit.’ Is this a fair comment?",The Arts
‘Clothes make a man.’ Do you agree with this view? ,The Arts
Is the library redundant in today’s world? ,The Arts
Does literature offer anything more than an appreciation of the language?,The Arts
"In times of economic difficulty, should a country still be concerned with environmental conservation?",Business and Economics
"‘Without money, conservation is just conversation.’ How far do you agree with this view?",Business and Economics
‘Businesses should be concerned with environmental protection.’ How realistic is this position?,Business and Economics
To what extent do multi-national corporations worsen the levels of inequality in the world?,Business and Economics
"‘Despite its current popularity, the future of e-commerce is not bright.’ To what extent is this true?",Business and Economics
‘Businesses should always seek to maximise profits at all cost.’ Is this attitude still applicable today?,Business and Economics
‘Profits must be the sole focus of businesses.’ Do you agree?,Business and Economics
Are ethical practices the key to a successful business? ,Business and Economics
How prepared are societies today for an economic crisis? ,Business and Economics
 'The only way to eliminate crime is to eliminate poverty.' What are your views?,Crime and Punishment
Consider the view that ensuring law and order is more important than protecting rights.,Crime and Punishment
Is crime a result of poor governance?,Crime and Punishment
"‘Greed, not need, is largely to blame for the increase in crimes today’. Comment.",Crime and Punishment
How far should a criminal's age determine the nature of the punishment?,Crime and Punishment
‘The liveability of a city depends on how well its arts scene is developed.’ Is this true of your society?,Society
‘Much appeal but little value.’ Is this an apt description of tourism in the modern world? ,Society
Consider the view that cities are developing at the expense of the  environment.,Society
‘Tourism impoverishes us.’ Do you agree?,Society
‘The price of progress has been too high.’ To what extent is this true of your society? ,Society
‘The needs of the disadvantaged are well taken care of today.’ To what extent is this true of your society?,Society
‘A civilised society is characterised by tolerance.’ Discuss.,Rights Injustices and Fair Treatment
 Should there be any age restrictions for employment?,Rights Injustices and Fair Treatment
Is it really possible for your society to achieve inclusiveness?,Rights Injustices and Fair Treatment
‘People should have privileges in proportion to their intelligence.’ Comment.,Rights Injustices and Fair Treatment
Should there still be any concerns over gender issues when people are more educated?,Rights Injustices and Fair Treatment
Is it true that the world will be an increasingly difficult place for the disadvantaged?,Rights Injustices and Fair Treatment
Consider the view that female athletes are less recognised than male athletes in professional sports.,Rights Injustices and Fair Treatment
Will there ever be equality for women in sport?,Rights Injustices and Fair Treatment
‘It is increasingly easy for women to make their mark on the world today.’ Do you agree? ,Rights Injustices and Fair Treatment
How far is the elimination of prejudice a realistic goal in your society?,Rights Injustices and Fair Treatment
Can your society do without the elite?,Rights Injustices and Fair Treatment
Discuss the claim that gender distinction has no place in the modern world.,Rights Injustices and Fair Treatment
‘Not enough has been done to tackle discrimination in the world today.’ Do you agree? ,Rights Injustices and Fair Treatment
‘Schools have always either neglected or stifled entrepreneurship.’ Should schools change to focus more on entrepreneurship?,Education
How far does education in your society prepare students for their careers?  ,Education
How far is education the solution to inequality?   ,Education
Is education for girls the cure for poverty?,Education
Is education the most powerful tool we can use to make the world a better place?,Education
To what extent can education solve the problem of poverty? ,Education
"In your society, how effectively do schools prepare the young for the demands of the economy?",Education
‘The Golden Years.’ Is this an accurate description of ageing in your society?,Family Marriage Youth 
‘There has never been a better time for the elderly in your society.’ Discuss. ,Family Marriage Youth 
Have we gone too far with animal rights? ,Energy and the Environment
Is there any point in fighting for animal rights?,Energy and the Environment
The key to managing environmental issues lies with corporations. How far do you agree with this statement?,Energy and the Environment
"‘Environmental conservation, not poverty alleviation, should be the priority of developing countries.’ Comment.",Energy and the Environment
"Discuss the view that given the global energy crisis today, green energy should be the solution. ",Energy and the Environment
‘Environmentalism needs heroes in order for it to be successful.’ Do you agree?,Energy and the Environment
How effective are your society’s efforts in going green? ,Energy and the Environment
‘Humanity is fighting a losing battle against environmental degradation.’ Discuss.,Energy and the Environment
 'Children in your society are victims of their parents' ambitions.' Discuss.,Family Marriage Youth
‘There is now a greater need for the family.’ How true is this of your society?,Family Marriage Youth
‘It is more difficult to be a parent today.’ Discuss.,Family Marriage Youth
‘There is greater value in reading fiction than keeping updated with current affairs.’ Do you agree? ,Globalisation
‘Poverty is not the fault of the poor.’ Discuss.,Globalisation
Does global aid really improve the lives of those who need it the most?,Globalisation
‘The global demand for food can only be met at the expense of the environment.’ To what extent do you agree?,Globalisation
Why are countries so reluctant to cooperate in tackling global environmental problems and what can be done to solve this problem? ,Globalisation
Should poorer countries address environmental issues when the basic needs of their own people are not being met? ,Globalisation
‘Developed nations hold the greatest responsibility in protecting the environment.’ Comment. ,Globalisation
"‘In a severely over-populated world, it is irresponsible for any family to have more than two children.’ Do you agree?",Globalisation
How effective are international efforts in tackling global health threats?,Globalisation
How far do you agree with the view that one of the main problems with the world today is a lack of strong leadership?,Globalisation
"Consider the view that celebrities could, and should, tackle global issues. ",Globalisation
To what extent should the movement of people across borders be restricted in the modern world?,Globalisation
‘Modern methods of transport have brought the world closer together.’ How far is this beneficial? ,Globalisation
To what extent can small countries influence global affairs?,Globalisation
Is national identity still important when the world is becoming increasingly globalised?,Globalisation
‘The world today does not give us any reason to be optimistic about the future.’ How far do you agree?,Globalisation
Consider the view that the best way to fight poverty is to improve the lives of women. ,Globalisation
Consider the view that we have not done enough to address the problem of human exploitation. ,Globalisation
"‘A shrinking world results in more, not fewer problems.’ Discuss.",Globalisation
International cooperation has no place in this competitive world.' Discuss.,Globalisation
To what extent should the government be blamed for poverty within a country?,Science
To what extent is poor governance responsible for the increasing insecurity in many countries today?,Governance
‘Most government campaigns are a complete waste of time and money.’ Discuss with reference to your own country.,Governance
How far should the government be involved in the private lives of its people?,Governance
Should the State have unlimited power to deal with the increasing threat of terrorism?,Governance
We have become too reliant on medical technology today.' Do you agree with this statement?,"Medicine, Medical Science and Health"
‘People should be more concerned about the food they eat and where it comes from.’ To what extent do you agree? ,"Medicine, Medical Science and Health"
‘Only the rich can afford to be ill.’ To what extent is this true?,"Medicine, Medical Science and Health"
‘Increasing life expectancy is always a desirable goal.’ Do you agree?,"Medicine, Medical Science and Health"
‘History holds us back rather than spurs us forward.’ To what extent is this true?,History
Do you agree that censorship is the greatest obstacle to progress?,Mass Media
‘The internet makes it more difficult for governments to govern today.’ How far do you agree with this statement?,Mass Media
‘Propaganda is all around us; no one knows the truth anymore.’ Discuss. ,Mass Media
Is it fair to say that only people who have something to hide should be worried about losing their privacy?,Mass Media
‘Censorship does more harm than good.’ How far is this true today? ,Mass Media
‘People in the public eye should not be easily forgiven.’ Do you agree?,Mass Media
To what extent does the media reflect what is wrong with society today?,Mass Media
Is social media to blame for our ignorance?,Mass Media
Consider the claim that the media today misinforms more than it informs.,Mass Media
Does the local media still have a role in your society today?,Mass Media
 'The media promote a sense of fear in people which is unnecessary and undesired.' Discuss.  ,Mass Media
Migrants are an inconvenient necessity.' Is this true? ,Population and Migration
Should countries encourage migration today? ,Population and Migration
Does travel offer anything more than an escape from reality?,Miscellaneous
Is it ever justifiable for the State to intervene in business practices?,Governance
It is impossible to balance individual rights with the collective needs of a society.' To what extent is this true?,Governance
‘Governments have no right to interfere with family matters.’ Discuss with reference to your society. ,Governance
‘Countries will benefit more from cooperation than competition today.’ How far do you agree?,Governance
Consider the view that small countries cannot exert any real influence in world affairs.,Governance
Examine the view that an interconnected world is a more dangerous world.,Governance
‘Good governance is simply about meeting the demands of the people.’ What do you think?,Governance
Examine the view that government surveillance does not really contribute to greater security. ,Governance
‘Governments are powerless to deal with the conflicts of today.’ Discuss.,Governance
How liberal should governments be? ,Governance
‘Migrants are a threat to the security and stability of a country today.’ Comment. ,Governance
"‘If you don’t like it here, then get out!’ Is this an acceptable response to either fellow citizens or foreign residents who criticise your country?",Governance
‘There is not enough international cooperation to solve the problem of migration.’ How far do you agree?,Governance
Should freedom of speech be protected no matter the cost?,Governance
Is foreign intervention in a country’s affairs ever justified? ,Governance
Examine the extent to which one country’s intervention in another country’s problems is justified.,Governance
‘There is no place for politics in sport.’ Do you agree?,Governance
To what extent are human rights important for people in your society?,Governance
Should a government restrict the opinions of people given that it is increasingly difficult to do so? ,Governance
"‘Negotiation, not the use of force, is the way to resolve political conflicts.’ Discuss ",Governance
‘Politics should not be the business of the common man.’ What is your view?,Governance
"‘In the modern world, religion divides more than it unites.’ Discuss.",Religion
Should we welcome or resist the idea of robots replacing human beings in the workplace?,Science
Should scientific research using animals ever be permitted?,Science
To what extent is it justified to use animals in scientific experiments? ,Science
‘Technology has corrupted the beauty of language.’ Is this a fair comment?,Science
‘The progress of a society is sustained by the sciences rather than the arts.’ How far do you agree with this statement?,Science
 'People in the Sciences contribute more to society than those in the Arts.' Is this true?,Science
‘Science and business should be kept separate.’ What is your view? ,Science
Consider the view that advancements in artificial intelligence will result in more divides.,Science
"‘The more technology advances, the more schools lose their relevance.’ Is this a fair comment?",Science
Discuss the view that too much faith is placed in green technology.,Science
How far do you agree with the view that advances in military technology actually make the world a safer and more peaceful place to live in? ,Science
"‘Instead of empowering humanity, technology has enslaved humanity.’ To what extent do you agree? ",Science
"‘No matter how much scientific progress we make, there will always be more questions than answers.’ What are your views?",Science
Has technology really increased our productivity?,Science
‘In the world of modern science and technology we live on the brink of a disaster.’ Do you agree?,Science
‘Modern technology always improves the quality of people’s lives.’ Discuss.,Science
‘Science gathers knowledge faster than society gathers wisdom.’ Discuss.,Science
‘Technology has imprisoned rather than liberated us.’ Is this a fair comment?,Science
To what extent does technology complicate rather than simplify our lives?,Science
‘Too much knowledge is a dangerous thing.’ Is this true of developments in science and technology in the modern world?,Science
Is science and technology advancing too quickly for the good of mankind?,Science
To what extent has science and technology had a negative impact on people’s values? ,Science
 'Advances in medical science bring more harm than good.' Do you agree?,Science
‘Soft power trumps military might.’ To what extent is this true of the globalised world?,Security Issues - terrorism security privacy
To what extent should we look beyond the interests of our own society when helping the poor?,Society
To what extent should immigration be blamed for social ills today?,Society
Can a national identity ever be forged in multi-cultural societies?,Society
‘The job of raising children is made difficult with the prevalence of technology.’ Comment.,Society
How important is tradition in your society today? ,Society
‘Festivals and rituals still have an important role.’ Is this true in your society? ,Society
Is there a necessity for marriage in this time and age?,Society
‘Traditions are increasingly irrelevant in today’s world.’ Do you agree?,Society
Do you agree that good parenting is increasingly challenging in your society today? ,Society
How far is your society prepared for its most pressing issues?,Society
Does competitive sport always contribute to greater harmony and understanding?,Reflective
 'Sport and politics should not mix.' To what extent do you agree?,Sport
‘Serious sport has nothing to do with fair play … it is war minus the shooting.’ (George Orwell) How far do you agree with this view of professional sport?,Sport
Are professional athletes nothing more than mere entertainers?,Sport
Discuss the view that competitive sport brings out the worst in people.,Sport
‘The value of sports is overrated.’ Is this true today? ,Sport
Consider the argument that the main goal of sports is self-interest rather than the greater good. ,Sport
How far do you agree that monitoring and keeping up with trends are a meaningless pursuit?,Reflective
‘The increasing focus on superheroes is detrimental to the development of children.’ Discuss. ,Family Marriage Youth 
‘Too much attention has been paid to the elderly at the expense of the young.’ How far is this true of your society?,Family Marriage Youth 
Discuss the claim that young people are doing nothing good despite being better informed.,Family Marriage Youth 
"‘No risk, no reward.’ Is this good advice for young people in your society today? ",Family Marriage Youth 
How far are young people today loyal to their country? Discuss with reference to your society. ,Family Marriage Youth 
"In your society, how far are young people prepared for the challenges of tomorrow?",Family Marriage Youth 
Better to be a pet than a child.' Is this true of your society today?,Family Marriage Youth 
Is the term 'spoilt generation' a fair description of today's young in your society? ,Family Marriage Youth 
