Question,Topic
"The arts cannot change the world but they make it more beautiful. Discuss this view with reference to one of the following: painting, sculpture or music.",The Arts 
"Do the arts, such as music and literature, really play a significant role in Singaporean society?",The Arts 
Contemporary music has no artistic value. Is this a fair comment?,The Arts 
A work of art can never be valued in just financial terms. Discuss.,The Arts 
Assess the importance of food within Singaporean culture.,Culture and Traditions
Do handicrafts still have value when machine-produced goods are so readily available?,Culture and Traditions
Assess the view that traditional buildings have no future in your society.,Culture and Traditions
How important is it for people in your society to retain a sense of tradition?,Culture and Traditions
Assess the impact of foreign films or foreign TV programmes on the culture of your society.,Culture and Traditions
Fashion is as much a good thing as a bad thing. To what extent do you agree?,Culture and Traditions
Can a belief in the supernatural be sustained in our modern world?,Culture and Traditions
Do myths and legends still have a role to play in Singapore?,Culture and Traditions
An appreciation of music is vital for a fully rounded education. How true is this of your society?,Education
Practical ability is just as important as intellectual skills.- How far is this true in your society?,Education
Books serve little purpose in education as technological developments become more sophisticated. How far do you agree?,Education
Education should only be concerned with what is useful in life. Discuss.,Education
Only educated people should have the right to vote in elections. What is your view?,Education
The word failure should never be used in education. Discuss.,Education
Conformity should be the main aim of all schools. How far is this true?,Education
How far can prosperity and uncontrolled population growth go hand in hand?,Economics
Science is the only answer to global hunger. Discuss.,Economics
Foreign aid does not solve long-term problems. To what extent is this a fair viewpoint?,Economics
To what extent is the pursuit of continuous economic growth a desirable goal?,Economics
How far is increased prosperity for all a realistic goal in your society?,Economics
How effective are international efforts to ease the problem of global hunger?,Economics
Is the elimination of global poverty a realistic aim?,Economics
Are the poor an inevitable feature of any society?,Economics
Is there still a place for charity in today's world?,Economics
"How far do physical features, such as size and location, determine a country's progress?",Economics
Should poorer countries develop their tourist industry when the basic needs of their own people are not being met?,Economics
To what extent should income equality be a goal in your society?,Business and Economics
How far should firms be allowed to limit their workers' rights when profits are at stake?,Business and Economics
How far is it possible to ensure that all producers of food and goods are fairly rewarded?,Business and Economics
Mass production inevitably means a loss of craftsmanship and quality. Is this true in your society?,Business and Economics
Entrepreneurship is just another name for personal greed. How far do you agree with this statement?,Business and Economics
To what extent should the State involve itself in the world of business?,Business and Economics
Have multi-national businesses had a positive or negative impact on your society?,Business and Economics
To what extent are small businesses preferable to large ones?,Business and Economics
Assess the view that attempts to control climate change can never be truly effective.,Energy and the Environment
Assess the view that most natural disasters are the result of human activity.,Energy and the Environment
Should there be any controls over the production of energy when the need for it is so great?,Energy and the Environment
"In your society, how well are the demands of the economy and the environment balanced?",Energy and the Environment
"Discuss the view that, with an increasing global need for energy, every possible source should be exploited to the full.",Energy and the Environment
How important is it to save plant and animal species which are in danger of extinction?,Energy and the Environment
Environmental concerns and economic growth cannot co-exist. Do you agree?,Energy and the Environment
Can transport of food over vast distances be justified?,Energy and the Environment
"Air travel should be discouraged, not promoted. To what extent do you agree?",Energy and the Environment
Is it possible to protect the environment when many countries require increasing amounts of energy to progress?,Energy and the Environment
Examine the claim that the world is too dependent on oil.,Energy and the Environment
How far is recycling the answer to the problem of waste?,Energy and the Environment
Air travel creates more problems than benefits. Is this a fair comment?,Energy and the Environment
"When a government's finances for social welfare are limited, should they be directed towards the young or the old?",Family Marriage Youth 
To what extent do young people in your society take an interest in politics?,Family Marriage Youth 
How far do magazines or television programmes aimed at young people in Singapore have a positive effect?,Family Marriage Youth 
To what extent are the young in Singapore favoured at the expense of the elderly?,Family Marriage Youth 
Was life for young people in Singapore better in the past than it is today?,Family Marriage Youth 
Should both parents take equal responsibility for raising their children?,Family Marriage Youth 
Parents have no right to impose their own values and beliefs on their children. Discuss.,Family Marriage Youth 
Traditional marriage is an outdated concept. To what extent is this true of your society?,Family Marriage Youth 
Should people be allowed to have children by artificial means?,Family Marriage Youth 
The family has suffered at the expense of career in Singaporean society. Is this a fair comment?,Family Marriage Youth 
"Evaluate the claim that equality of opportunity for females is a desirable, but unrealistic, goal.",Gender
Consider the view that some careers are better suited to one gender than the other.,Gender
Women will never enjoy the same rights as men. Do you agree?,Gender
"History records male acts, written by males, and holds little interest for females as a result. Is this a fair comment?",Gender
The world would be a better place if more political leaders were women.- What is your view?,Gender
How far can prosperity and uncontrolled population growth go hand in hand?,Population and Migration
Longer life expectancy creates more problems than benefits. Discuss.,Population and Migration
To what extent does the migration of people have a positive effect?,Population and Migration
To what extent can any society claim to be great?,Globalisation
"Given greater levels of international cooperation, how necessary is it for countries to engage in the arms trade?",Globalisation
Is globalisation to be welcomed or feared today?,Globalisation
"In the global village we inhabit, there is no justification for national boundaries. How far do you agree?",Globalisation
How far is it important for people to be aware of current events in countries other than their own?,Globalisation
"In times of economic hardship, should a country still be expected to provide financial or material aid to others?",Globalisation
Discuss the claim that in the modern world people should care more about international than national issues.,Globalisation
Why should we be concerned with current affairs when most of them will soon be forgotten?,Globalisation
How far should countries aim to be self-sufficient?,Globalisation
Should a love of one's country still be encouraged?,Globalisation
To what extent does the migration of people have a positive effect?,Globalisation
National boundaries make little geographical or economic sense nowadays. Discuss.,Globalisation
Can small countries have a significant voice in world affairs?,Globalisation
Is modern technology a benefit or a threat to democracy?,Governance
"In a free society, there should be no restrictions on freedom of speech.' Discuss.",Governance
"When a government's finances for social welfare are limited, should they be directed towards the young or the old?",Governance
"How far, in your society, should unpopular views be open to discussion?",Governance
The key criterion for good government is how well the economy is managed.- Is this a fair assessment?,Governance
Consider the view that efficient government is more important than democracy.,Governance
How far should religion influence political decisions?,Governance
How far is your country prepared for future crises?,Governance
To what extent should the State involve itself in the world of business?,Governance
"People, not the government, should decide how to organise their lives. Is this a fair comment?",Governance
Should the police have unlimited powers when dealing with crime?,Governance
"Should politicians pursue the popular viewpoint or their own convictions, if they conflict?",Leadership
"A leader's responsibility should always be to his or her own country, not other nations. Discuss.",Leadership
Consider the view that social media has more influence than politicians.,Leadership
"Do events, rather than politicians, shape the future?",Leadership
The world would be a better place if more political leaders were women. What is your view?,Leadership
The most influential individuals in history are those who have caused the most harm. How far would you accept this view?,Leadership
'No politician's reputation can survive the judgement of time.' How true is this?,Leadership
"As long as people in the public eye do their job well, does it matter what they do in private?",Leadership
A good leader must always look beyond the needs of his or her country. Do you agree?,Leadership
"Given greater levels of international cooperation, how necessary is it for countries to engage in the arms trade?",Intervention conflict and war
How far should countries have relations with others whose human rights record is poor?,Intervention conflict and war
Countries experiencing conflict should be left to sort out their own problems. How far do you agree?,Intervention conflict and war
How far is it possible for one country to forgive another for its past actions?,Intervention conflict and war
Examine the extent to which expenditure on arms and the armed forces is justifiable in the modern world.,Intervention conflict and war
"In times of economic hardship, should a country still be expected to provide financial or material aid to others?",Intervention conflict and war
No cause is ever worth dying for. Discuss.,Intervention conflict and war
Is violence ever justified?,Intervention conflict and war
The prospect of a Third World War is now unthinkable. Do you agree?,Intervention conflict and war
Can small countries have a significant voice in world affairs?,Intervention conflict and war
Does the presence of a foreign power ever help a country with problems?,Intervention conflict and war
"Given greater levels of international cooperation, how necessary is it for countries to engage in the arms trade?",Security Issues - terrorism security privacy
Discuss the view that all countries have an equal responsibility to counter terrorism.,Security Issues - terrorism security privacy
To what extent has technology had an impact on both privacy and security in your country?,Security Issues - terrorism security privacy
How far should a state have a right to monitor the actions of people within its borders?,Security Issues - terrorism security privacy
Can the trade in weapons ever be justified?,Security Issues - terrorism security privacy
Should the police have unlimited powers when dealing with crime?,Security Issues - terrorism security privacy
The prospect of a Third World War is now unthinkable.- Do you agree?,Security Issues - terrorism security privacy
Air travel creates more problems than benefits. Is this a fair comment?,Security Issues - terrorism security privacy
Hosting major sporting events creates more problems than benefits. Do you agree?,Security Issues - terrorism security privacy
The past is not dead; it is not even past. Discuss.,History 
The most influential individuals in history are those who have caused the most harm. How far would you accept this view?,History 
"History records male acts, written by males, and holds little interest for females as a result. Is this a fair comment?",History 
How important is a sense of history in shaping the future of Singapore's society?,History 
Do the past and present offer any guidance for the future?,History 
Is History anything more than the study of warfare?,History 
Does a study of history make you optimistic or pessimistic about the future of the human race?,History 
Should crimes that were committed many years ago simply be forgotten?,History 
"How far do physical features, such as size and location, determine a country's progress?",Geography
National boundaries make little geographical or economic sense nowadays. Discuss.,Geography
Can transport of food over vast distances be justified?,Tourism and Transportation
"Air travel should be discouraged, not promoted. To what extent do you agree?",Tourism and Transportation
Should poorer countries develop their tourist industry when the basic needs of their own people are not being met?,Tourism and Transportation
The tourist does not see the country the inhabitants know. How far is this true of Singapore?,Tourism and Transportation
Air travel creates more problems than benefits. Is this a fair comment?,Tourism and Transportation
How reliable are statistics as a guide for planning the future?,Mathematics and Statistics
How far has modern technology made it unnecessary for individuals to possess mathematical skills?,Mathematics and Statistics
"Unlike the Arts, such as writing or music, Mathematics lacks the capacity for creativity. How far do you agree with this statement?",Mathematics and Statistics
"Consider the view that mathematics possesses not only truth, but supreme beauty.",Mathematics and Statistics
Can mathematics been seen as anything more than a useful tool in everyday life?,Mathematics and Statistics
Discuss the view that too much faith is placed in statistics.,Mathematics and Statistics
"Consider the view that the study of mathematics is intellectually satisfying, but of little practical use.",Mathematics and Statistics
Statistics measure everything but prove nothing. Discuss.,Mathematics and Statistics
Does violence in the visual media portray reality or encourage the unacceptable?,Mass Media
Is regulation of the press desirable?,Mass Media
Consider the argument that the main purpose of television should be to educate rather than simply to entertain.,Mass Media
Do films offer anything more than an escape from reality?,Mass Media
In the digital age do newspapers still have a role in your society?,Mass Media
Assess the impact of foreign films or foreign TV programmes on the culture of your society.,Mass Media
"To what extent do the newspapers and magazines that you read deal with what is trivial, rather than what is important?",Mass Media
How far do magazines or television programmes aimed at young people in Singapore have a positive effect?,Mass Media
Can the media ever be relied on to convey the truth?,Mass Media
There is no such thing as bad publicity. To what extent is this true?,Advertising
"Advertisements are often entertaining, but they rarely affect consumer choice. Is this your experience?",Advertising
Advertising encourages a desire for products which people do not actually need. Discuss.,Advertising
Religion is an important part of the lives of young people today. Consider whether this is true in your society.,Religion
"Human actions should be based on scientific fact, not religious faith. How far do you agree with this statement?",Religion
How far should religion influence political decisions?,Religion
"The more science advances, the more religion will decline. To what extent do you agree?",Religion
Can a belief in the supernatural be sustained in our modern world?,Religion
Discuss the importance of religion in society today.,Religion
Science and religion will always conflict. Discuss.,Religion
Science is the only answer to global hunger. Discuss.,Science
How far is science fiction becoming fact?,Science
Can the use of animals for scientific research ever be justified?,Science
"Human need, rather than profit, should always be the main concern of scientific research. Discuss.",Science
"Human actions should be based on scientific fact, not religious faith. How far do you agree with this statement?",Science
To what extent can the regulation of scientific or technological developments be justified?,Science
Scientific research into health and diet is unreliable as it so often contradicts itself. Is this a fair comment?,Science
To what extent is it acceptable for private companies to be involved in financing scientific research?,Science
Can space research be justified nowadays?,Science
"Science is unreliable, being based as much on theory as on fact. Is this a fair comment?",Science
Should every country have the right to carry out unlimited scientific research?,Science
How inventions and discoveries are used is not the concern of the scientist. Do you agree?,Science
Is effective farming possible without science?,Science
Is there a case for keeping animals in zoos?,Science
Science and religion will always conflict. Discuss.,Science
Is modern technology a benefit or a threat to democracy?,Technology
To what extent is artificial intelligence replacing the role of humans?,Technology
Do handicrafts still have value when machine-produced goods are so readily available?,Technology
"In an age of rapid technological advancement, is a single career for life realistic?",Technology
How far has modern technology made it unnecessary for individuals to possess mathematical skills?,Technology
How far is it acceptable for technology to be used only for financial benefit?,Technology
To what extent has technology had a negative impact on the skill levels of people?,Technology
To what extent has technology had an impact on both privacy and security in your country?,Technology
Does modern technology always improve the quality of people's lives?,Technology
Does the modern world place too much reliance on technology?,Technology
Consider the view that we do not take enough responsibility for our own well-being.,"Medicine, Medical Science and Health"
Longer life expectancy creates more problems than benefits. Discuss.,"Medicine, Medical Science and Health"
Scientific research into health and diet is unreliable as it so often contradicts itself. Is this a fair comment?,"Medicine, Medical Science and Health"
Should people be allowed to have children by artificial means?,"Medicine, Medical Science and Health"
Should everyone be expected to donate suitable organs after death?,"Medicine, Medical Science and Health"
How far should medical resources be used to extend life expectancy?,"Medicine, Medical Science and Health"
Should medical science always seek to prolong life?,"Medicine, Medical Science and Health"
Should research into expensive medical treatments be allowed when only a few can afford them?,"Medicine, Medical Science and Health"
Medical science has been so successful that people now expect too much of it. Discuss.,"Medicine, Medical Science and Health"
How effectively is public health promoted and managed in your society?,"Medicine, Medical Science and Health"
'The key to good health is lifestyle rather than medicine.' How far do you agree?,"Medicine, Medical Science and Health"
If people become ill it is largely their own fault. How far do you agree?,"Medicine, Medical Science and Health"
"Individuals achieve sporting success, not nations. Discuss.",Sport
To what extent is sporting achievement given adequate recognition in your society?,Sport
"Considering the money involved, should developing countries be allowed to host major sporting events?",Sport
Gambling on sport undermines its spirit and should be banned. How realistic is this position?,Sport
Does sport merit the vast sums of money that are spent on it?,Sport
Hosting major sporting events creates more problems than benefits. Do you agree?,Sport
Is modern technology a benefit or a threat to democracy?,Rights Injustices and Fair Treatment
"In a free society, there should be no restrictions on freedom of speech.' Discuss.",Rights Injustices and Fair Treatment
How far should countries have relations with others whose human rights record is poor?,Rights Injustices and Fair Treatment
"Everyone has an opinion, but not everyone's opinion is of equal value. What is your view?",Rights Injustices and Fair Treatment
"In your society, how far is equality for all a reality?",Rights Injustices and Fair Treatment
To what extent are the rights of animals protected in your society?,Rights Injustices and Fair Treatment
Can prejudice ever be eliminated?,Rights Injustices and Fair Treatment
Only educated people should have the right to vote in elections. What is your view?,Rights Injustices and Fair Treatment
To what extent has technology had an impact on both privacy and security in your country?,Rights Injustices and Fair Treatment
Many developed countries are paying increasing attention to the needs of the disadvantaged. How far is this true in Singapore?,Rights Injustices and Fair Treatment
The view of the majority is always right. Do you agree?,Rights Injustices and Fair Treatment
How far should a state have a right to monitor the actions of people within its borders?,Rights Injustices and Fair Treatment
How far can the needs of minorities be met in modern Singapore?,Rights Injustices and Fair Treatment
To what extent is human life in general about the survival of the fittest?,Reflective
To what extent can any society claim to be great?,Reflective
Is pressure a motivating force or a cause for unhappiness?,Reflective
How far is failure an essential part of success?,Reflective
Is competition always desirable?,Reflective
No cause is ever worth dying for. Discuss.,Reflective
Getting what one wants in life is what matters. Discuss.,Reflective
Taking risks is an essential part of life and should be encouraged. Discuss.,Reflective
'The person who dies rich dies disgraced.' Discuss.,Reflective
How important are dreams?,Reflective
There is no such thing as luck. People determine their own lives. Do you agree?,Reflective
The only worthwhile form of discipline is self-discipline. Discuss.,Reflective
Is friendly rivalry ever possible?,Reflective
People today do not work as hard as they did in the past. How true is this of your society?,Work and Life
"In an age of rapid technological advancement, is a single career for life realistic?",Work and Life
Practical ability is just as important as intellectual skills. How far is this true in your society?,Work and Life
People who do the most worthwhile jobs rarely receive the best financial rewards. To what extent is this true of your society?,Work and Life
How far should firms be allowed to limit their workers' rights when profits are at stake?,Work and Life
Consider the view that some careers are better suited to one gender than the other.,Work and Life
"Consider the view that most work these days could, and should, be done from home.",Work and Life
"Instead of speeding up the pace of life, we should be slowing it down. What do you think?",Work and Life
Do you agree that city life is becoming increasingly unattractive?,Work and Life
The family has suffered at the expense of career in Singaporean society. Is this a fair comment?,Work and Life
Assess the importance of food within Singaporean culture.,Singapore
Many developed countries are paying increasing attention to the needs of the disadvantaged. How far is this true in Singapore?,Singapore
How important is a sense of history in shaping the future of Singapore's society?,Singapore
Do myths and legends still have a role to play in Singapore?,Singapore
"Do the arts, such as music and literature, really play a significant role in Singaporean society?",Singapore
The tourist does not see the country the inhabitants know. How far is this true of Singapore?,Singapore
How far do magazines or television programmes aimed at young people in Singapore have a positive effect?,Singapore
To what extent are the young in Singapore favoured at the expense of the elderly?,Singapore
How far can the needs of minorities be met in modern Singapore?,Singapore
Was life for young people in Singapore better in the past than it is today?,Singapore
The family has suffered at the expense of career in Singaporean society. Is this a fair comment?,Singapore
"We shape our buildings, but then our buildings shape us. To what extent is this true of your society?",Society
To what extent can any society claim to be great?,Society
To what extent should income equality be a goal in your society?,Society
Religion is an important part of the lives of young people today. Consider whether this is true in your society.,Society
People today do not work as hard as they did in the past. How true is this of your society?,Society
To what extent is sporting achievement given adequate recognition in your society?,Society
Practical ability is just as important as intellectual skills. How far is this true in your society?,Society
Examine the role of music in establishing a national identity in your society.,Society
"In your society, to what extent is it acceptable for public money to be used for the acquisition of works of art?",Society
People who do the most worthwhile jobs rarely receive the best financial rewards. To what extent is this true of your society?,Society
Assess the view that traditional buildings have no future in your society.,Society
How effectively is public health promoted and managed in your society?,Society
"In your society, how well are the demands of the economy and the environment balanced?",Society
To what extent should the arts in your society focus on local rather than foreign talent?,Society
Traditional marriage is an outdated concept. To what extent is this true of your society?,Society
"For the majority of people, the Arts are irrelevant to their daily lives. How true is this of your society?",Society
How far is increased prosperity for all a realistic goal in your society?,Society
"How far, in your society, should unpopular views be open to discussion?",Society
To what extent are the rights of animals protected in your society?,Society
"In your society, how far is equality for all a reality?",Society
Only modern architecture and modern art have a place in today's world. How true is this of your society?,Society
In the digital age do newspapers still have a role in your society?,Society
"Would it matter if all the performing arts venues in your society, such as concert halls and theatres, were closed down?",Society
How important is it for people in your society to retain a sense of tradition?,Society
To what extent has technology had an impact on both privacy and security in your country?,Society
Assess the impact of foreign films or foreign TV programmes on the culture of your society.,Society
To what extent is design important in your society?,Society
Mass production inevitably means a loss of craftsmanship and quality. Is this true in your society?,Society
How far is your country prepared for future crises?,Society
To what extent do young people in your society take an interest in politics?,Society
Have multi-national businesses had a positive or negative impact on your society?,Society
To what extent are people judged more by their physical appearance than by their abilities?,Miscellaneous
Is there any point in trying to predict future trends?,Miscellaneous
Can humour ever be serious?,Miscellaneous
Do awards and prizes serve any useful purpose?,Miscellaneous
Far too much attention is given to beauty products and treatments. Do you agree?,Miscellaneous
‘Nothing happens by chance – there is no such thing as luck.’ Discuss.,Reflective
‘Happiness is in your own hands.’ How far do you agree with this claim?,Reflective
‘Good character hinders success.’ Discuss.,Reflective
Should we always accept opportunities that come our way? ,Reflective
Is it possible to forgive and forget?,Reflective
Do superheroes serve any useful purpose? ,Reflective
Is it true that humour makes the world a better place?,Reflective
‘Live as if you were to die tomorrow.’ Is this good advice?,Reflective
Do choices actually make our lives better?,Reflective
The most valuable commodity in modern life is time. Do you agree?,Reflective
Uncertainty may not necessarily be a bad thing. Discuss. ,Reflective
‘Most non-conformists are merely attention-seekers.’ How true is this in your society?,Reflective
Do your duty!’ Explore both the possible merits and potential drawbacks of always obeying this directive. ,Reflective
"‘Rather than broadening our minds, most foreign travel only serves to reinforce our prejudices!’ How far do you agree?",Reflective
‘There is nothing special about our species – mankind is merely a slightly more intelligent chimpanzee.’ Discuss.,Reflective
‘Let bygones be bygones.’ Is this good advice?,Reflective
Consider the importance of architecture and city planning.,Reflective
‘Money is the only motivator for people today.’ Comment.,Reflective
Does tourism impoverish us?,Reflective
 ‘Age is no barrier to success.’ How far do you agree? ,Reflective
‘A career as an artist is more attractive now than ever before.’ Comment. ,The Arts
"‘Modern art is merely the expression of one’s imagination, and is of little significance.’ Do you agree?",The Arts
Discuss the value of music. ,The Arts
People no longer read for pleasure.’ Discuss. ,The Arts
Photography has little artistic value today. Is this a fair comment?,The Arts
Examine the view that the Arts are only for the wealthy. ,The Arts
‘The preservation of culture has been overlooked in the arts.’ Discuss.,The Arts
Do museums still have a role to play in society?,The Arts
Do you agree that only the rich can appreciate the Arts? ,The Arts
To what extent is cultural heritage really important in your society?,The Arts
‘The Arts should play a significant role in your society.’ How far do you agree?,The Arts
‘Language is the key to cultural identity.’ To what extent is this true in your society?,The Arts
Can your society do without the Arts?,The Arts
Consider the view that the arts will play a more significant role in your society.,The Arts
Should more emphasis be placed on traditions in your society?,The Arts
"In your society, is there any point in learning a foreign language? ",The Arts
Do you agree with the view that art and politics should never mix?,The Arts
Are certain languages superior to others?,The Arts
"‘The artist, not the government, should be regulating what is appropriate for the audience.’ Do you agree?",The Arts
To what extent can Mathematics be considered a form of art?,The Arts
‘Tradition does more harm than good.’ To what extent do you agree with this statement?,The Arts
‘There is no reason for society to spend on the Arts when people are still suffering in poverty.’ Do you agree?,The Arts
Discuss the importance of understanding and appreciating the power of the written word.,The Arts
Does the notion that big businesses do more harm than good still hold true today? ,Business and Economics
To what extent should the success of your society be measured by its economic growth?,Business and Economics
There is too much emphasis on economic development.' Is this true in your society?,Business and Economics
Consider the view that affluence poses more problems than it solves.,Business and Economics
‘Consumers are at the mercy of corporations.’ Discuss.,Business and Economics
 Is increasing the strength of the police force the best way to combat crime?,Crime and Punishment
"‘The harsher the punishment, the more effective it is.’ Discuss.",Crime and Punishment
How far is it acceptable for the public to mete out justice for wrongdoing?,Crime and Punishment
‘Learning beyond grades.’ To what extent is this a realistic goal in your society?,Education
Discuss the claim that education guarantees progress.,Education
Education produces a population able to read but unable to think.' Discuss.,Education
 Is lack of education the root cause of crime today? ,Education
To what extent is it mankind's duty to save endangered species? ,Energy and the Environment
Should wild animals be kept in captivity? ,Energy and the Environment
‘Animals should have the same right to life as humans.’ Discuss. ,Energy and the Environment
‘Environmental conservation should be made compulsory.’ Do you agree?,Energy and the Environment
‘We cannot expect individuals to save the environment.’ Do you agree?,Energy and the Environment
‘Mother Nature knows best.’ To what extent do you agree with this piece of traditional wisdom?,Energy and the Environment
‘The developed world should bear the burden of climate change.’ Discuss.,Energy and the Environment
Should the pursuit of environmental causes be embraced at all costs?,Energy and the Environment
How far should individuals be blamed for global environmental problems? ,Energy and the Environment
‘Countries have far more urgent priorities than protecting the environment.’ Do you agree?,Energy and the Environment
To what extent has the media advanced the cause of conservation?,Energy and the Environment
Should countries that are suffering from economic crises still try to save the environment?,Energy and the Environment
How important is it for people in your society to embrace uncertainty?,Globalisation
What valuable lessons do you think your country could learn from some of its neighbours?,Globalisation
How far is your country prepared for a serious outbreak of disease? ,Globalisation
How important is it for people in your society to retain a sense of nostalgia?,Globalisation
How far is your society prepared for the challenges that diversity brings?,Globalisation
‘There are enough opportunities in your society to improve one’s life.’ Do you agree?,Globalisation
How far is elitism a problem in your society?,Globalisation
No one dares to be different.' Is this true of your society?,Globalisation
"‘Nothing ventured, nothing gained.’ How well does this describe the attitude of young people in your society today? ",Globalisation
Examine the extent to which the young in your society should be allowed to make their own decisions. ,Globalisation
 Is a world without borders a cause for celebration? ,Globalisation
‘The world would be a better place if we had a universal language.' Comment.,Globalisation
Does tragedy always unite a nation?,Globalisation
‘Population pressure is the root cause of conflict.’ How far do you agree?,Globalisation
"Discuss the view that, in an increasingly connected world, international issues must take precedence over national issues. ",Globalisation
"‘Migration should be discouraged, not embraced.’ Discuss. ",Globalisation
Assess the effectiveness of international efforts at addressing crises today. ,Globalisation
"In today’s world, has ethics taken a backseat where food is concerned?",Globalisation
‘Disease is the greatest threat facing mankind today.’ To what extent do you do you agree with this statement?,Globalisation
Should international aid only be given to others during times of economic prosperity?,Globalisation
Can the car as a form of private transport ever be eliminated?,Globalisation
There is no greater threat to countries today than terrorism.' Do you agree?,Globalisation
"Is it true that the more interconnected the world becomes, the more danger there is?",Globalisation
‘We cannot eradicate poverty without first eliminating discrimination.’ Do you agree?,Globalisation
To what extent is the development of a country affected by geographical factors?,Globalisation
Is genetically modified food the answer to world hunger? ,Globalisation
Is international cooperation the most effective way of reducing poverty?,Globalisation
Should developed countries be expected to do more to solve the water crisis?,Globalisation
We lack role models who can inspire our young to make change.’ Comment.,Globalisation
Examine the extent to which terrorism is a threat to global security today. ,Globalisation
‘Horrific events are the only catalysts for social or political change.’ Discuss.,Globalisation
Is the study of History increasingly losing its relevance in today’s world?,History 
"‘Historical records are questionable, being based as much on perception as on fact.’ Is this a fair comment? ",History 
"More than anything else, history instills a sense of belonging. Is this true",History 
Is the study of History increasingly irrelevant in today’s world?,History 
Should the press be completely free?,Mass Media
Do you agree that social media has given rise to a more divided world?,Mass Media
Is there any point in trying to regulate social media? ,Mass Media
 To what extent can we rely on newspapers to keep us well-informed? ,Mass Media
‘The truth should never be hidden from the public.’ Discuss.,Mass Media
Consider the view that social media undermines the truth and should be regulated. ,Mass Media
In the digital age do newspapers still have a role in society?,Mass Media
To what extent do women in your society face discrimination?,Rights Injustices and Fair Treatment
‘The roles of men and women should be complementary rather than equal.’ Discuss.,Rights Injustices and Fair Treatment
‘Women will always be losers in the fight for equality.’ Comment.,Rights Injustices and Fair Treatment
One cannot have one's cake and eat it too.' Consider this statement in view of the issues faced by women today?,Rights Injustices and Fair Treatment
‘There has never been a better time than now to be a woman.’ Comment.,Rights Injustices and Fair Treatment
" ‘Out of sight, out of mind.’ Is this an accurate description of your society’s attitude towards the less fortunate today?",Rights Injustices and Fair Treatment
‘There is nothing to fear about growing old when the government is paying increased attention to the needs of the elderly.’ Is this true in your society?,Rights Injustices and Fair Treatment
"‘Aging is not lost youth, but a new stage of opportunity.’ How far is this true of the elderly in your society?",Rights Injustices and Fair Treatment
To what extent does your society celebrate diversity?,Rights Injustices and Fair Treatment
How tolerant is your society of alternative views and lifestyles? ,Rights Injustices and Fair Treatment
‘Parents should decide for themselves how many children they want to have – governments have no business trying to influence their decision.’ What are your views?,Society
‘The State has no place in the private lives of its citizens.’ Do you agree?,Society
"‘Healthcare is the responsibility of the individual, not the government.’ Do you agree",Society
How far is healthcare a matter of personal responsibility rather than the business of the government,Society
Examine the claim that people in your society are too dependent on their government,Society
How far should the government interfere with personal decisions? ,Society
‘Politicians today are too obsessed with the art of persuasion.’ Discuss.,Society
‘A little rebellion now and then is a good thing.’ Comment on the validity of this proposition.,Society
‘The greatest happiness for the greatest number.’ Is this the best principle to adopt as the basis for good government?,Society
‘Politicians merely react to events.’ Is this a fair comment? ,Society
Consider the view that security is more important than democracy. ,Society
‘Kindness cannot be legislated.’ What is your view?,Society
‘Stand up for your rights.’ Is this sound advice?,Society
‘Security is far more important than liberty.’ Discuss.,Society
Democracy is not for every country.' Discuss.,Society
